source,target
697111,1631570
740183,1631570
821352,1631570
941114,1631570
1334068,1631570
1367484,1631570
1459433,1631570
112500,2285378
113874,2285378
125103,2285378
157546,2285378
164216,2285378
361639,2285378
361718,2285378
389452,2285378
448045,2285378
458058,2285378
481025,2285378
525837,2285378
637935,2285378
656308,2285378
656645,2285378
697111,2285378
740183,2285378
821352,2285378
941114,2285378
1334068,2285378
1367484,2285378
1459433,2285378
1631570,2285378
112500,2627116
113874,2627116
125103,2627116
157546,2627116
164216,2627116
361639,2627116
361718,2627116
389452,2627116
448045,2627116
458058,2627116
481025,2627116
525837,2627116
637935,2627116
656308,2627116
656645,2627116
697111,2627116
740183,2627116
821352,2627116
941114,2627116
1334068,2627116
1367484,2627116
1459433,2627116
1631570,2627116
2285378,2627116
112500,2699935
113874,2699935
125103,2699935
157546,2699935
164216,2699935
361639,2699935
361718,2699935
389452,2699935
448045,2699935
458058,2699935
481025,2699935
525837,2699935
637935,2699935
656308,2699935
656645,2699935
697111,2699935
740183,2699935
821352,2699935
941114,2699935
1334068,2699935
1367484,2699935
1459433,2699935
1631570,2699935
2285378,2699935
2627116,2699935
112500,3125172
113874,3125172
125103,3125172
157546,3125172
164216,3125172
361639,3125172
361718,3125172
389452,3125172
448045,3125172
458058,3125172
481025,3125172
525837,3125172
637935,3125172
656308,3125172
656645,3125172
697111,3125172
740183,3125172
821352,3125172
941114,3125172
1334068,3125172
1367484,3125172
1459433,3125172
1631570,3125172
2285378,3125172
2627116,3125172
2699935,3125172
112500,361718
112500,448045
361718,448045
112500,656645
361718,656645
448045,656645
112500,677602
361718,677602
448045,677602
656645,677602
112500,1006445
361718,1006445
448045,1006445
656645,1006445
677602,1006445
112500,1284330
361718,1284330
448045,1284330
656645,1284330
677602,1284330
1006445,1284330
112500,1864363
361718,1864363
448045,1864363
656645,1864363
677602,1864363
1006445,1864363
1284330,1864363
926544,1006445
761653,1864363
56306,423066
56306,526114
423066,526114
56306,656494
423066,656494
526114,656494
458058,1951136
458058,2144619
1951136,2144619
520178,656102
520178,656494
656102,656494
520178,657028
656102,657028
656494,657028
520178,657035
656102,657035
656494,657035
657028,657035
520178,1212892
656102,1212892
656494,1212892
657028,1212892
657035,1212892
520178,2175719
656102,2175719
656494,2175719
657028,2175719
657035,2175719
1212892,2175719
72358,207251
72358,390669
207251,390669
72358,393753
207251,393753
390669,393753
72358,423066
207251,423066
390669,423066
393753,423066
72358,423161
207251,423161
390669,423161
393753,423161
423066,423161
72358,481025
207251,481025
390669,481025
393753,481025
423066,481025
423161,481025
72358,656494
207251,656494
390669,656494
393753,656494
423066,656494
423161,656494
481025,656494
72358,825261
207251,825261
390669,825261
393753,825261
423066,825261
423161,825261
481025,825261
656494,825261
72358,2699935
207251,2699935
390669,2699935
393753,2699935
423066,2699935
423161,2699935
481025,2699935
656494,2699935
825261,2699935
72358,3634443
207251,3634443
390669,3634443
393753,3634443
423066,3634443
423161,3634443
481025,3634443
656494,3634443
825261,3634443
2699935,3634443
1367484,1420053
296829,1006445
296829,1141410
1006445,1141410
656102,1267753
88973,656494
88973,1860938
656494,1860938
125103,448045
125103,458058
448045,458058
125103,1124520
448045,1124520
458058,1124520
125103,1437020
448045,1437020
458058,1437020
1124520,1437020
125103,1666651
448045,1666651
458058,1666651
1124520,1666651
1437020,1666651
125103,1864363
448045,1864363
458058,1864363
1124520,1864363
1437020,1864363
1666651,1864363
125103,2579314
448045,2579314
458058,2579314
1124520,2579314
1437020,2579314
1666651,2579314
1864363,2579314
125103,2609517
448045,2609517
458058,2609517
1124520,2609517
1437020,2609517
1666651,2609517
1864363,2609517
2579314,2609517
125103,5352140
448045,5352140
458058,5352140
1124520,5352140
1437020,5352140
1666651,5352140
1864363,5352140
2579314,5352140
2609517,5352140
125103,8551546
448045,8551546
458058,8551546
1124520,8551546
1437020,8551546
1666651,8551546
1864363,8551546
2579314,8551546
2609517,8551546
5352140,8551546
125103,9198834
448045,9198834
458058,9198834
1124520,9198834
1437020,9198834
1666651,9198834
1864363,9198834
2579314,9198834
2609517,9198834
5352140,9198834
8551546,9198834
91568,299514
91568,458058
299514,458058
91568,525938
299514,525938
458058,525938
91568,561632
299514,561632
458058,561632
525938,561632
91568,697111
299514,697111
458058,697111
525938,697111
561632,697111
91568,1864363
299514,1864363
458058,1864363
525938,1864363
561632,1864363
697111,1864363
91568,2609517
299514,2609517
458058,2609517
525938,2609517
561632,2609517
697111,2609517
1864363,2609517
91568,2694104
299514,2694104
458058,2694104
525938,2694104
561632,2694104
697111,2694104
1864363,2694104
2609517,2694104
91568,2699935
299514,2699935
458058,2699935
525938,2699935
561632,2699935
697111,2699935
1864363,2699935
2609517,2699935
2694104,2699935
91568,4035517
299514,4035517
458058,4035517
525938,4035517
561632,4035517
697111,4035517
1864363,4035517
2609517,4035517
2694104,4035517
2699935,4035517
91568,8551546
299514,8551546
458058,8551546
525938,8551546
561632,8551546
697111,8551546
1864363,8551546
2609517,8551546
2694104,8551546
2699935,8551546
4035517,8551546
697111,3097862
656494,917426
419430,458058
419430,622166
458058,622166
520178,1367484
520178,1456863
1367484,1456863
520178,1863329
1367484,1863329
1456863,1863329
520178,2880469
1367484,2880469
1456863,2880469
1863329,2880469
448045,458058
448045,761653
458058,761653
448045,1411788
458058,1411788
761653,1411788
448045,1864363
458058,1864363
761653,1864363
1411788,1864363
656494,3423686
296829,390669
296829,393753
390669,393753
296829,423066
390669,423066
393753,423066
296829,423161
390669,423161
393753,423161
423066,423161
296829,448045
390669,448045
393753,448045
423066,448045
423161,448045
296829,520178
390669,520178
393753,520178
423066,520178
423161,520178
448045,520178
296829,520188
390669,520188
393753,520188
423066,520188
423161,520188
448045,520188
520178,520188
296829,520198
390669,520198
393753,520198
423066,520198
423161,520198
448045,520198
520178,520198
520188,520198
296829,530346
390669,530346
393753,530346
423066,530346
423161,530346
448045,530346
520178,530346
520188,530346
520198,530346
296829,553608
390669,553608
393753,553608
423066,553608
423161,553608
448045,553608
520178,553608
520188,553608
520198,553608
530346,553608
296829,656494
390669,656494
393753,656494
423066,656494
423161,656494
448045,656494
520178,656494
520188,656494
520198,656494
530346,656494
553608,656494
296829,865311
390669,865311
393753,865311
423066,865311
423161,865311
448045,865311
520178,865311
520188,865311
520198,865311
530346,865311
553608,865311
656494,865311
296829,865313
390669,865313
393753,865313
423066,865313
423161,865313
448045,865313
520178,865313
520188,865313
520198,865313
530346,865313
553608,865313
656494,865313
865311,865313
296829,866212
390669,866212
393753,866212
423066,866212
423161,866212
448045,866212
520178,866212
520188,866212
520198,866212
530346,866212
553608,866212
656494,866212
865311,866212
865313,866212
296829,875087
390669,875087
393753,875087
423066,875087
423161,875087
448045,875087
520178,875087
520188,875087
520198,875087
530346,875087
553608,875087
656494,875087
865311,875087
865313,875087
866212,875087
296829,889186
390669,889186
393753,889186
423066,889186
423161,889186
448045,889186
520178,889186
520188,889186
520198,889186
530346,889186
553608,889186
656494,889186
865311,889186
865313,889186
866212,889186
875087,889186
296829,3634443
390669,3634443
393753,3634443
423066,3634443
423161,3634443
448045,3634443
520178,3634443
520188,3634443
520198,3634443
530346,3634443
553608,3634443
656494,3634443
865311,3634443
865313,3634443
866212,3634443
875087,3634443
889186,3634443
656494,4463830
656494,4959422
4463830,4959422
458058,648561
458058,723980
648561,723980
458058,2717549
648561,2717549
723980,2717549
458058,5660085
648561,5660085
723980,5660085
2717549,5660085
2546209,3077368
1422448,2272514
1422448,2367666
2272514,2367666
72418,656494
72418,1860938
656494,1860938
525415,4959422
496733,656494
496733,1860938
656494,1860938
496733,2006314
656494,2006314
1860938,2006314
256408,458058
256408,488520
458058,488520
256408,622166
458058,622166
488520,622166
256408,677602
458058,677602
488520,677602
622166,677602
256408,723980
458058,723980
488520,723980
622166,723980
677602,723980
256408,786531
458058,786531
488520,786531
622166,786531
677602,786531
723980,786531
256408,1238771
458058,1238771
488520,1238771
622166,1238771
677602,1238771
723980,1238771
786531,1238771
256408,1367484
458058,1367484
488520,1367484
622166,1367484
677602,1367484
723980,1367484
786531,1367484
1238771,1367484
256408,1420053
458058,1420053
488520,1420053
622166,1420053
677602,1420053
723980,1420053
786531,1420053
1238771,1420053
1367484,1420053
256408,1567795
458058,1567795
488520,1567795
622166,1567795
677602,1567795
723980,1567795
786531,1567795
1238771,1567795
1367484,1567795
1420053,1567795
256408,1582219
458058,1582219
488520,1582219
622166,1582219
677602,1582219
723980,1582219
786531,1582219
1238771,1582219
1367484,1582219
1420053,1582219
1567795,1582219
256408,1864363
458058,1864363
488520,1864363
622166,1864363
677602,1864363
723980,1864363
786531,1864363
1238771,1864363
1367484,1864363
1420053,1864363
1567795,1864363
1582219,1864363
256408,1884096
458058,1884096
488520,1884096
622166,1884096
677602,1884096
723980,1884096
786531,1884096
1238771,1884096
1367484,1884096
1420053,1884096
1567795,1884096
1582219,1884096
1864363,1884096
256408,2539194
458058,2539194
488520,2539194
622166,2539194
677602,2539194
723980,2539194
786531,2539194
1238771,2539194
1367484,2539194
1420053,2539194
1567795,2539194
1582219,2539194
1864363,2539194
1884096,2539194
256408,2731036
458058,2731036
488520,2731036
622166,2731036
677602,2731036
723980,2731036
786531,2731036
1238771,2731036
1367484,2731036
1420053,2731036
1567795,2731036
1582219,2731036
1864363,2731036
1884096,2731036
2539194,2731036
256408,9004802
458058,9004802
488520,9004802
622166,9004802
677602,9004802
723980,9004802
786531,9004802
1238771,9004802
1367484,9004802
1420053,9004802
1567795,9004802
1582219,9004802
1864363,9004802
1884096,9004802
2539194,9004802
2731036,9004802
330275,911816
330275,2784293
911816,2784293
14793,1860938
330275,458058
656494,3097862
38960,2828470
742687,1034150
512336,761653
512336,2881189
761653,2881189
512336,9198834
761653,9198834
2881189,9198834
182652,488520
182652,1184572
488520,1184572
182652,1352419
488520,1352419
1184572,1352419
361639,361718
361639,448045
361718,448045
361639,637935
361718,637935
448045,637935
361639,656308
361718,656308
448045,656308
637935,656308
361639,656645
361718,656645
448045,656645
637935,656645
656308,656645
361639,697111
361718,697111
448045,697111
637935,697111
656308,697111
656645,697111
361639,1420053
361718,1420053
448045,1420053
637935,1420053
656308,1420053
656645,1420053
697111,1420053
361639,1459433
361718,1459433
448045,1459433
637935,1459433
656308,1459433
656645,1459433
697111,1459433
1420053,1459433
361639,3136310
361718,3136310
448045,3136310
637935,3136310
656308,3136310
656645,3136310
697111,3136310
1420053,3136310
1459433,3136310
361639,6269013
361718,6269013
448045,6269013
637935,6269013
656308,6269013
656645,6269013
697111,6269013
1420053,6269013
1459433,6269013
3136310,6269013
561632,761653
561632,926544
761653,926544
561632,1420053
761653,1420053
926544,1420053
72418,121842
72418,390669
121842,390669
72418,423066
121842,423066
390669,423066
72418,423161
121842,423161
390669,423161
423066,423161
72418,496733
121842,496733
390669,496733
423066,496733
423161,496733
72418,656494
121842,656494
390669,656494
423066,656494
423161,656494
496733,656494
72418,865313
121842,865313
390669,865313
423066,865313
423161,865313
496733,865313
656494,865313
72418,914985
121842,914985
390669,914985
423066,914985
423161,914985
496733,914985
656494,914985
865313,914985
72418,917426
121842,917426
390669,917426
423066,917426
423161,917426
496733,917426
656494,917426
865313,917426
914985,917426
72418,2607283
121842,2607283
390669,2607283
423066,2607283
423161,2607283
496733,2607283
656494,2607283
865313,2607283
914985,2607283
917426,2607283
72418,3634443
121842,3634443
390669,3634443
423066,3634443
423161,3634443
496733,3634443
656494,3634443
865313,3634443
914985,3634443
917426,3634443
2607283,3634443
72358,865311
72358,656494
72358,2326847
656494,2326847
578831,7667366
330275,448045
330275,458058
448045,458058
330275,488520
448045,488520
458058,488520
330275,637935
448045,637935
458058,637935
488520,637935
330275,914985
448045,914985
458058,914985
488520,914985
637935,914985
330275,1124520
448045,1124520
458058,1124520
488520,1124520
637935,1124520
914985,1124520
330275,1238771
448045,1238771
458058,1238771
488520,1238771
637935,1238771
914985,1238771
1124520,1238771
330275,1367484
448045,1367484
458058,1367484
488520,1367484
637935,1367484
914985,1367484
1124520,1367484
1238771,1367484
330275,1864363
448045,1864363
458058,1864363
488520,1864363
637935,1864363
914985,1864363
1124520,1864363
1238771,1864363
1367484,1864363
330275,3978556
448045,3978556
458058,3978556
488520,3978556
637935,3978556
914985,3978556
1124520,3978556
1238771,3978556
1367484,3978556
1864363,3978556
330275,4344257
448045,4344257
458058,4344257
488520,4344257
637935,4344257
914985,4344257
1124520,4344257
1238771,4344257
1367484,4344257
1864363,4344257
3978556,4344257
330275,9993226
448045,9993226
458058,9993226
488520,9993226
637935,9993226
914985,9993226
1124520,9993226
1238771,9993226
1367484,9993226
1864363,9993226
3978556,9993226
4344257,9993226
458058,1666651
458058,656494
207251,496733
332273,1860938
121842,182040
121842,9114871
182040,9114871
390669,393753
390669,423066
393753,423066
390669,423161
393753,423161
423066,423161
390669,520178
393753,520178
423066,520178
423161,520178
390669,520188
393753,520188
423066,520188
423161,520188
520178,520188
390669,520198
393753,520198
423066,520198
423161,520198
520178,520198
520188,520198
390669,530346
393753,530346
423066,530346
423161,530346
520178,530346
520188,530346
520198,530346
390669,553608
393753,553608
423066,553608
423161,553608
520178,553608
520188,553608
520198,553608
530346,553608
390669,656494
393753,656494
423066,656494
423161,656494
520178,656494
520188,656494
520198,656494
530346,656494
553608,656494
390669,865311
393753,865311
423066,865311
423161,865311
520178,865311
520188,865311
520198,865311
530346,865311
553608,865311
656494,865311
390669,865313
393753,865313
423066,865313
423161,865313
520178,865313
520188,865313
520198,865313
530346,865313
553608,865313
656494,865313
865311,865313
390669,866072
393753,866072
423066,866072
423161,866072
520178,866072
520188,866072
520198,866072
530346,866072
553608,866072
656494,866072
865311,866072
865313,866072
390669,866212
393753,866212
423066,866212
423161,866212
520178,866212
520188,866212
520198,866212
530346,866212
553608,866212
656494,866212
865311,866212
865313,866212
866072,866212
390669,875087
393753,875087
423066,875087
423161,875087
520178,875087
520188,875087
520198,875087
530346,875087
553608,875087
656494,875087
865311,875087
865313,875087
866072,875087
866212,875087
390669,889186
393753,889186
423066,889186
423161,889186
520178,889186
520188,889186
520198,889186
530346,889186
553608,889186
656494,889186
865311,889186
865313,889186
866072,889186
866212,889186
875087,889186
390669,3634443
393753,3634443
423066,3634443
423161,3634443
520178,3634443
520188,3634443
520198,3634443
530346,3634443
553608,3634443
656494,3634443
865311,3634443
865313,3634443
866072,3634443
866212,3634443
875087,3634443
889186,3634443
390669,4371423
393753,4371423
423066,4371423
423161,4371423
520178,4371423
520188,4371423
520198,4371423
530346,4371423
553608,4371423
656494,4371423
865311,4371423
865313,4371423
866072,4371423
866212,4371423
875087,4371423
889186,4371423
3634443,4371423
330275,1320921
330275,3244931
1320921,3244931
93580,616297
93580,2764963
616297,2764963
93580,3721162
616297,3721162
2764963,3721162
93580,5763603
616297,5763603
2764963,5763603
3721162,5763603
93580,569670
93580,6660366
569670,6660366
390669,423066
530346,553608
530346,656494
553608,656494
530346,1267753
553608,1267753
656494,1267753
483580,2025640
319491,946996
319491,1420053
946996,1420053
319491,3378594
946996,3378594
1420053,3378594
319491,6269013
946996,6269013
1420053,6269013
3378594,6269013
72418,350906
72418,390669
350906,390669
72418,496733
350906,496733
390669,496733
72418,530346
350906,530346
390669,530346
496733,530346
72418,553608
350906,553608
390669,553608
496733,553608
530346,553608
72418,656494
350906,656494
390669,656494
496733,656494
530346,656494
553608,656494
72418,797252
350906,797252
390669,797252
496733,797252
530346,797252
553608,797252
656494,797252
72418,865311
350906,865311
390669,865311
496733,865311
530346,865311
553608,865311
656494,865311
797252,865311
72418,2659536
350906,2659536
390669,2659536
496733,2659536
530346,2659536
553608,2659536
656494,2659536
797252,2659536
865311,2659536
72418,3423686
350906,3423686
390669,3423686
496733,3423686
530346,3423686
553608,3423686
656494,3423686
797252,3423686
865311,3423686
2659536,3423686
423066,530346
423066,553608
530346,553608
423066,656494
530346,656494
553608,656494
390669,423066
390669,496733
423066,496733
390669,520188
423066,520188
496733,520188
390669,530346
423066,530346
496733,530346
520188,530346
390669,553608
423066,553608
496733,553608
520188,553608
530346,553608
390669,656494
423066,656494
496733,656494
520188,656494
530346,656494
553608,656494
390669,875087
423066,875087
496733,875087
520188,875087
530346,875087
553608,875087
656494,875087
390669,1106937
423066,1106937
496733,1106937
520188,1106937
530346,1106937
553608,1106937
656494,1106937
875087,1106937
390669,3634443
423066,3634443
496733,3634443
520188,3634443
530346,3634443
553608,3634443
656494,3634443
875087,3634443
1106937,3634443
390669,10664494
423066,10664494
496733,10664494
520188,10664494
530346,10664494
553608,10664494
656494,10664494
875087,10664494
1106937,10664494
3634443,10664494
330275,926544
330275,1223928
926544,1223928
330275,1864363
926544,1864363
1223928,1864363
330275,3077368
926544,3077368
1223928,3077368
1864363,3077368
330275,3451238
926544,3451238
1223928,3451238
1864363,3451238
3077368,3451238
440174,1763397
374148,1280355
458058,2352781
458058,2925888
3970295,6660366
6559533,6559707
207251,656494
207251,825261
656494,825261
1863329,2234102
423066,1417609
423066,458058
423066,906674
458058,906674
423066,926544
458058,926544
906674,926544
423066,2468290
458058,2468290
906674,2468290
926544,2468290
423066,2546209
458058,2546209
906674,2546209
926544,2546209
2468290,2546209
423066,2630121
458058,2630121
906674,2630121
926544,2630121
2468290,2630121
2546209,2630121
423066,5186400
458058,5186400
906674,5186400
926544,5186400
2468290,5186400
2546209,5186400
2630121,5186400
423066,8736819
458058,8736819
906674,8736819
926544,8736819
2468290,8736819
2546209,8736819
2630121,8736819
5186400,8736819
423066,10555788
458058,10555788
906674,10555788
926544,10555788
2468290,10555788
2546209,10555788
2630121,10555788
5186400,10555788
8736819,10555788
423066,10664494
458058,10664494
906674,10664494
926544,10664494
2468290,10664494
2546209,10664494
2630121,10664494
5186400,10664494
8736819,10664494
10555788,10664494
256408,9086637
458058,740183
581617,926544
525415,1860938
393753,1860938
207779,2234102
207779,3077368
2234102,3077368
1415827,1859675
181899,1092252
269027,775682
361718,389452
269027,525837
789494,1141410
789494,1860938
1141410,1860938
656494,917426
458058,1666651
458058,4646413
423066,656102
423066,656494
656102,656494
423066,11573911
656102,11573911
656494,11573911
759578,3294418
93580,1601673
93580,3244931
1601673,3244931
182652,458058
182652,1184572
458058,1184572
182652,1352419
458058,1352419
1184572,1352419
182652,1393244
458058,1393244
1184572,1393244
1352419,1393244
